site+ADs-core+ADs-depth+ADs-cn+ADs-d13C+ADs-d15N
Sfhu+ADs-1+ADs-5,1+ADs-42,07+ADs-27,52+ADs-
Sfhu+ADs-1+ADs-7,2+ADs-44,59+ADs-26,61+ADs-
Sfhu+ADs-1+ADs-9,3+ADs-33,89+ADs-26,41+ADs-
Sfhu+ADs-1+ADs-11,3+ADs-29,58+ADs-26,08+ADs-
Sfhu+ADs-1+ADs-13,4+ADs-28+ADs-25,71+ADs-
Sfhu+ADs-1+ADs-15,4+ADs-29,22+ADs-25,88+ADs-
Sfhu+ADs-1+ADs-17,5+ADs-32,98+ADs-25,9+ADs-
Sfhu+ADs-1+ADs-19,5+ADs-29,63+ADs-25,38+ADs-
Sfhu+ADs-1+ADs-21,6+ADs-20,91+ADs-25,83+ADs-
Sfhu+ADs-1+ADs-23,7+ADs-22+ADs-25,62+ADs-
Sfhu+ADs-1+ADs-25,7+ADs-22,16+ADs-26,45+ADs-
Sfhu+ADs-1+ADs-27,8+ADs-23,11+ADs-25,47+ADs-
Sfhu+ADs-1+ADs-29,8+ADs-20,78+ADs-26,41+ADs-
Sfhu+ADs-1+ADs-31,9+ADs-31,68+ADs-24,67+ADs-
Sfhu+ADs-1+ADs-33,9+ADs-32,38+ADs-25,09+ADs-
Sfhu+ADs-1+ADs-36+ADs-17,23+ADs-26,97+ADs-
Sfhu+ADs-1+ADs-38+ADs-18,72+ADs-26,59+ADs-
Sfhu+ADs-1+ADs-40,1+ADs-23,72+ADs-26,33+ADs-
Sfhu+ADs-1+ADs-42,2+ADs-32,2+ADs-27,23+ADs-
Sfhu+ADs-1+ADs-44,2+ADs-25,06+ADs-27,48+ADs-
Sfhu+ADs-1+ADs-46,3+ADs-18,85+ADs-27,45+ADs-
Sfhu+ADs-1+ADs-48,3+ADs-17,35+ADs-27,44+ADs-
Sfhu+ADs-1+ADs-50,4+ADs-16,95+ADs-27,62+ADs-
Sfhu+ADs-1+ADs-52,4+ADs-18,07+ADs-28,84+ADs-
Sfhu+ADs-2+ADs-1+ADs-44,43+ADs-26,83+ADs-
Sfhu+ADs-2+ADs-3+ADs-40,35+ADs-26,39+ADs-
Sfhu+ADs-2+ADs-5+ADs-53,19+ADs-25,41+ADs-
Sfhu+ADs-2+ADs-7+ADs-49,76+ADs-25,63+ADs-
Sfhu+ADs-2+ADs-9+ADs-48,48+ADs-25,04+ADs-
Sfhu+ADs-2+ADs-11+ADs-67,74+ADs-24,07+ADs-
Sfhu+ADs-2+ADs-13+ADs-28,81+ADs-25,95+ADs-
Sfhu+ADs-2+ADs-15+ADs-25,56+ADs-26,26+ADs-
Sfhu+ADs-2+ADs-17+ADs-23,74+ADs-25,91+ADs-
Sfhu+ADs-2+ADs-19+ADs-18,25+ADs-26,69+ADs-
Sfhu+ADs-2+ADs-21+ADs-16,05+ADs-26,52+ADs-
